id,城市,时间,温度,体感温度,天气情况,风力等级,湿度,能见度
327,湘西,2024-02-27T17:00+08:00,8.0,5.0,多云,2,41.0,12.0
328,贵阳,2024-02-27T17:00+08:00,6.0,2.0,阴,2,64.0,20.0
329,遵义,2024-02-27T17:00+08:00,4.0,2.0,阴,1,69.0,13.0
330,安顺,2024-02-27T17:00+08:00,3.0,-2.0,阴,2,72.0,14.0
331,黔南,2024-02-27T17:00+08:00,6.0,4.0,阴,1,66.0,14.0
332,黔东南,2024-02-27T17:00+08:00,7.0,5.0,阴,2,55.0,22.0
333,铜仁,2024-02-27T17:00+08:00,9.0,5.0,阴,2,42.0,15.0
334,毕节,2024-02-27T17:00+08:00,3.0,1.0,阴,1,82.0,6.0
335,六盘水,2024-02-27T17:00+08:00,1.0,2.0,阴,1,98.0,2.0
336,黔西南,2024-02-27T17:00+08:00,4.0,1.0,多云,2,95.0,4.0
337,成都,2024-02-27T17:00+08:00,9.0,6.0,阴,2,60.0,8.0
338,攀枝花,2024-02-27T17:00+08:00,28.0,27.0,晴,2,13.0,30.0
339,自贡,2024-02-27T17:00+08:00,11.0,9.0,多云,2,55.0,13.0
340,绵阳,2024-02-27T17:00+08:00,6.0,4.0,阴,2,84.0,4.0
341,南充,2024-02-27T17:00+08:00,9.0,7.0,晴,1,66.0,11.0
342,达州,2024-02-27T17:00+08:00,11.0,9.0,晴,1,53.0,16.0
343,遂宁,2024-02-27T17:00+08:00,10.0,8.0,晴,1,61.0,14.0
344,广安,2024-02-27T17:00+08:00,8.0,6.0,晴,1,68.0,9.0
345,巴中,2024-02-27T17:00+08:00,8.0,6.0,阴,1,61.0,17.0
346,泸州,2024-02-27T17:00+08:00,10.0,7.0,阴,2,63.0,20.0
347,宜宾,2024-02-27T17:00+08:00,10.0,7.0,晴,2,62.0,25.0
348,内江,2024-02-27T17:00+08:00,11.0,9.0,晴,1,53.0,11.0
349,资阳,2024-02-27T17:00+08:00,10.0,8.0,晴,2,56.0,12.0
350,乐山,2024-02-27T17:00+08:00,10.0,8.0,阴,1,59.0,9.0
351,眉山,2024-02-27T17:00+08:00,10.0,8.0,晴,2,58.0,11.0
352,凉山,2024-02-27T17:00+08:00,25.0,23.0,晴,3,16.0,30.0
353,雅安,2024-02-27T17:00+08:00,8.0,7.0,多云,1,67.0,4.0
354,甘孜,2024-02-27T17:00+08:00,10.0,1.0,晴,6,10.0,30.0
355,阿坝,2024-02-27T17:00+08:00,7.0,3.0,晴,2,32.0,28.0
356,德阳,2024-02-27T17:00+08:00,6.0,4.0,晴,1,80.0,8.0
357,广元,2024-02-27T17:00+08:00,7.0,5.0,阴,1,63.0,16.0
358,广州,2024-02-27T17:00+08:00,11.0,8.0,多云,3,66.0,21.0
359,韶关,2024-02-27T17:00+08:00,6.0,4.0,阴,2,92.0,12.0
360,惠州,2024-02-27T17:00+08:00,14.0,12.0,多云,2,60.0,30.0
361,梅州,2024-02-27T17:00+08:00,12.0,8.0,多云,2,63.0,30.0
362,汕头,2024-02-27T17:00+08:00,16.0,15.0,多云,2,65.0,20.0
363,深圳,2024-02-27T17:00+08:00,19.0,18.0,多云,1,56.0,30.0
364,珠海,2024-02-27T17:00+08:00,16.0,15.0,多云,2,62.0,25.0
365,佛山,2024-02-27T17:00+08:00,12.0,8.0,多云,3,65.0,30.0
366,肇庆,2024-02-27T17:00+08:00,10.0,8.0,多云,2,77.0,30.0
367,湛江,2024-02-27T17:00+08:00,13.0,11.0,多云,2,76.0,20.0
368,江门,2024-02-27T17:00+08:00,11.0,6.0,阴,3,66.0,27.0
369,河源,2024-02-27T17:00+08:00,10.0,6.0,多云,3,68.0,30.0
370,清远,2024-02-27T17:00+08:00,8.0,4.0,阴,3,79.0,30.0
371,云浮,2024-02-27T17:00+08:00,8.0,5.0,多云,3,86.0,30.0
372,潮州,2024-02-27T17:00+08:00,16.0,15.0,阴,2,72.0,20.0
373,东莞,2024-02-27T17:00+08:00,14.0,12.0,多云,2,63.0,30.0
374,中山,2024-02-27T17:00+08:00,13.0,11.0,阴,3,64.0,30.0
375,阳江,2024-02-27T17:00+08:00,14.0,13.0,多云,3,73.0,17.0
376,揭阳,2024-02-27T17:00+08:00,17.0,15.0,多云,2,62.0,12.0
377,红河,2024-02-27T17:00+08:00,20.0,18.0,晴,3,57.0,30.0
378,曲靖,2024-02-27T17:00+08:00,23.0,17.0,晴,4,24.0,18.0
379,保山,2024-02-27T17:00+08:00,19.0,13.0,多云,4,34.0,8.0
380,文山,2024-02-27T17:00+08:00,15.0,13.0,多云,2,72.0,22.0
381,玉溪,2024-02-27T17:00+08:00,24.0,20.0,晴,4,27.0,30.0
382,楚雄,2024-02-27T17:00+08:00,23.0,18.0,晴,5,24.0,30.0
383,普洱,2024-02-27T17:00+08:00,24.0,17.0,晴,5,26.0,11.0
384,昭通,2024-02-27T17:00+08:00,14.0,9.0,多云,4,36.0,17.0
385,临沧,2024-02-27T17:00+08:00,25.0,20.0,晴,3,18.0,30.0
386,怒江,2024-02-27T17:00+08:00,25.0,24.0,多云,2,23.0,28.0
387,迪庆,2024-02-27T17:00+08:00,7.0,2.0,多云,4,29.0,30.0
388,丽江,2024-02-27T17:00+08:00,17.0,12.0,多云,3,23.0,30.0
389,德宏,2024-02-27T17:00+08:00,26.0,23.0,多云,3,30.0,30.0
390,西双版纳,2024-02-27T17:00+08:00,28.0,27.0,晴,2,21.0,19.0
391,南宁,2024-02-27T17:00+08:00,8.0,5.0,多云,2,88.0,19.0
392,崇左,2024-02-27T17:00+08:00,9.0,7.0,多云,2,88.0,30.0
393,柳州,2024-02-27T17:00+08:00,5.0,3.0,阴,2,97.0,15.0
394,来宾,2024-02-27T17:00+08:00,7.0,5.0,多云,2,84.0,9.0
395,桂林,2024-02-27T17:00+08:00,6.0,3.0,多云,2,68.0,14.0
396,梧州,2024-02-27T17:00+08:00,6.0,4.0,多云,2,94.0,7.0
397,贺州,2024-02-27T17:00+08:00,5.0,3.0,阴,2,100.0,3.0
398,贵港,2024-02-27T17:00+08:00,8.0,5.0,阴,2,84.0,30.0
399,玉林,2024-02-27T17:00+08:00,7.0,6.0,小雨,1,95.0,6.0
400,百色,2024-02-27T17:00+08:00,12.0,9.0,阴,3,63.0,30.0
401,钦州,2024-02-27T17:00+08:00,8.0,6.0,多云,2,100.0,11.0
402,河池,2024-02-27T17:00+08:00,9.0,5.0,阴,2,64.0,20.0
403,北海,2024-02-27T17:00+08:00,9.0,3.0,多云,3,84.0,30.0
404,防城港,2024-02-27T17:00+08:00,9.0,2.0,多云,5,93.0,30.0
405,香港,2024-02-27T17:01+08:00,21.0,18.0,晴,4,50.0,16.0
406,澳门,2024-02-27T17:01+08:00,16.0,13.0,多云,4,67.0,16.0
407,台北,2024-02-27T17:01+08:00,14.0,11.0,小雨,4,85.0,16.0
408,高雄,2024-02-27T17:01+08:00,22.0,22.0,晴,2,56.0,16.0
409,台中,2024-02-27T17:01+08:00,18.0,15.0,晴,2,67.0,16.0
410,海口,2024-02-27T17:00+08:00,16.0,15.0,雾,2,97.0,3.0
411,三沙,2024-02-27T17:00+08:00,21.0,25.0,晴,2,65.0,26.0
412,昆明,2024-02-27T17:00+08:00,16.0,15.0,晴,2,65.0,26.0
413,北京,2025-05-06T22:00+08:00,16.0,14.0,晴,2,51.0,22.0
414,海淀,2025-05-06T22:00+08:00,17.0,15.0,多云,2,44.0,28.0
415,朝阳,2025-05-06T22:00+08:00,18.0,16.0,晴,2,42.0,20.0
416,顺义,2025-05-06T22:00+08:00,16.0,14.0,晴,2,52.0,23.0
417,怀柔,2025-05-06T22:00+08:00,15.0,14.0,晴,1,54.0,18.0
418,通州,2025-05-06T22:00+08:00,12.0,10.0,晴,2,73.0,22.0
419,昌平,2025-05-06T22:00+08:00,16.0,14.0,晴,1,40.0,30.0
420,延庆,2025-05-06T22:00+08:00,13.0,11.0,晴,2,37.0,30.0
421,丰台,2025-05-06T22:00+08:00,17.0,15.0,晴,2,44.0,25.0
422,石景山,2025-05-06T22:00+08:00,17.0,15.0,多云,2,41.0,21.0
423,大兴,2025-05-06T22:00+08:00,15.0,13.0,晴,2,51.0,28.0
424,房山,2025-05-06T22:00+08:00,16.0,14.0,多云,2,47.0,29.0
425,密云,2025-05-06T22:00+08:00,14.0,13.0,晴,1,54.0,26.0
426,门头沟,2025-05-06T22:00+08:00,16.0,14.0,多云,2,45.0,24.0
427,平谷,2025-05-06T22:00+08:00,11.0,10.0,晴,2,75.0,30.0
428,上海,2025-05-06T22:00+08:00,18.0,18.0,阴,1,64.0,18.0
429,闵行,2025-05-06T22:00+08:00,17.0,16.0,阴,2,65.0,15.0
430,宝山,2025-05-06T22:00+08:00,16.0,15.0,阴,2,75.0,26.0
431,嘉定,2025-05-06T22:00+08:00,17.0,15.0,阴,3,67.0,12.0
432,南汇,2025-05-06T22:01+08:00,16.0,16.0,阴,2,75.0,20.0
433,金山,2025-05-06T22:00+08:00,17.0,15.0,阴,3,74.0,19.0
434,青浦,2025-05-06T22:00+08:00,18.0,16.0,阴,3,68.0,16.0
435,松江,2025-05-06T22:00+08:00,18.0,16.0,阴,3,67.0,16.0
436,奉贤,2025-05-06T22:00+08:00,16.0,15.0,阴,2,75.0,21.0
437,崇明,2025-05-06T22:00+08:00,15.0,15.0,阴,2,86.0,18.0
438,徐家汇,2025-05-06T22:00+08:00,18.0,18.0,阴,1,64.0,18.0
439,浦东,2025-05-06T22:02+08:00,18.0,18.0,阴,1,64.0,17.0
440,天津,2025-05-06T22:00+08:00,15.0,13.0,晴,2,66.0,9.0
441,武清,2025-05-06T22:00+08:00,15.0,12.0,晴,3,69.0,7.0
442,宝坻,2025-05-06T22:00+08:00,15.0,13.0,多云,3,68.0,9.0
443,东丽,2025-05-06T22:00+08:00,14.0,14.0,雾,1,77.0,9.0
444,西青,2025-05-06T22:00+08:00,14.0,13.0,雾,2,75.0,7.0
445,北辰,2025-05-06T22:00+08:00,15.0,13.0,晴,2,70.0,9.0
446,宁河,2025-05-06T22:00+08:00,13.0,12.0,雾,2,76.0,7.0
447,汉沽,2025-05-06T22:02+08:00,15.0,13.0,晴,3,66.0,9.0
448,静海,2025-05-06T22:00+08:00,14.0,12.0,雾,2,72.0,5.0
449,津南,2025-05-06T22:00+08:00,12.0,11.0,雾,2,83.0,6.0
450,塘沽,2025-05-06T22:00+08:00,13.0,11.0,晴,2,77.0,11.0
451,大港,2025-05-06T22:02+08:00,15.0,13.0,晴,3,66.0,9.0
452,蓟县,2025-05-06T22:00+08:00,12.0,12.0,多云,1,81.0,8.0
453,重庆,2025-05-06T22:00+08:00,22.0,22.0,雾,3,78.0,8.0
454,永川,2025-05-06T22:00+08:00,20.0,20.0,雾,2,88.0,5.0
455,合川,2025-05-06T22:00+08:00,21.0,22.0,雾,2,89.0,5.0
456,南川,2025-05-06T22:00+08:00,20.0,21.0,多云,2,83.0,19.0
457,江津,2025-05-06T22:00+08:00,20.0,21.0,雾,2,89.0,9.0
458,渝北,2025-05-06T22:00+08:00,21.0,22.0,雾,1,80.0,5.0
459,北碚,2025-05-06T22:00+08:00,21.0,24.0,雾,1,100.0,4.0
460,巴南,2025-05-06T22:00+08:00,19.0,20.0,雾,2,91.0,4.0
461,长寿,2025-05-06T22:02+08:00,21.0,22.0,雾,2,82.0,6.0
462,黔江,2025-05-06T22:00+08:00,18.0,18.0,阴,1,65.0,28.0
463,万州,2025-05-06T22:02+08:00,20.0,19.0,阴,3,57.0,30.0
464,涪陵,2025-05-06T22:02+08:00,21.0,22.0,雾,1,75.0,10.0
465,城口,2025-05-06T22:00+08:00,20.0,20.0,阴,1,57.0,30.0
466,云阳,2025-05-06T22:02+08:00,19.0,19.0,阴,2,79.0,13.0
467,巫溪,2025-05-06T22:02+08:00,20.0,20.0,阴,2,76.0,30.0
468,奉节,2025-05-06T22:02+08:00,18.0,18.0,阴,2,85.0,25.0
469,巫山,2025-05-06T22:02+08:00,17.0,18.0,阴,1,86.0,28.0
470,潼南,2025-05-06T22:02+08:00,20.0,20.0,阴,2,82.0,13.0
471,垫江,2025-05-06T22:02+08:00,21.0,22.0,雾,1,85.0,6.0
472,梁平,2025-05-06T22:02+08:00,20.0,20.0,阴,2,78.0,16.0
473,忠县,2025-05-06T22:02+08:00,21.0,22.0,阴,2,80.0,15.0
474,石柱,2025-05-06T22:00+08:00,17.0,16.0,阴,2,71.0,30.0
475,大足,2025-05-06T22:02+08:00,18.0,18.0,雾,3,95.0,3.0
476,荣昌,2025-05-06T22:02+08:00,20.0,21.0,雾,2,87.0,9.0
477,铜梁,2025-05-06T22:02+08:00,21.0,22.0,雾,2,97.0,5.0
478,璧山,2025-05-06T22:02+08:00,21.0,21.0,雾,2,84.0,5.0
479,丰都,2025-05-06T22:02+08:00,21.0,22.0,阴,1,74.0,22.0
480,武隆,2025-05-06T22:02+08:00,19.0,21.0,雾,1,92.0,8.0
481,彭水,2025-05-06T22:00+08:00,20.0,22.0,阴,0,89.0,18.0
482,綦江,2025-05-06T22:02+08:00,19.0,18.0,雾,3,86.0,10.0
483,酉阳,2025-05-06T22:02+08:00,17.0,16.0,阴,2,73.0,29.0
484,秀山,2025-05-06T22:02+08:00,19.0,20.0,雾,1,98.0,6.0
485,哈尔滨,2025-05-06T22:02+08:00,7.0,6.0,晴,1,88.0,25.0
486,齐齐哈尔,2025-05-06T22:00+08:00,13.0,10.0,多云,2,31.0,30.0
487,牡丹江,2025-05-06T22:00+08:00,6.0,3.0,多云,2,62.0,30.0
488,佳木斯,2025-05-06T22:00+08:00,11.0,9.0,阴,2,51.0,30.0
489,绥化,2025-05-06T22:00+08:00,6.0,5.0,多云,1,100.0,18.0
490,黑河,2025-05-06T22:00+08:00,7.0,4.0,多云,2,41.0,27.0
491,大兴安岭,2025-05-06T22:00+08:00,3.0,0.0,多云,1,54.0,30.0
492,伊春,2025-05-06T22:00+08:00,5.0,4.0,阴,1,92.0,30.0
493,大庆,2025-05-06T22:00+08:00,11.0,8.0,多云,2,51.0,30.0
494,七台河,2025-05-06T22:02+08:00,11.0,9.0,阴,2,46.0,30.0
495,鸡西,2025-05-06T22:00+08:00,9.0,6.0,多云,2,41.0,30.0
496,鹤岗,2025-05-06T22:02+08:00,3.0,1.0,多云,1,85.0,30.0
497,双鸭山,2025-05-06T22:02+08:00,8.0,6.0,阴,1,56.0,30.0
498,长春,2025-05-06T22:02+08:00,10.0,7.0,多云,2,64.0,18.0
499,吉林,2025-05-06T22:02+08:00,10.0,7.0,多云,3,57.0,16.0
500,延边,2025-05-06T22:02+08:00,9.0,5.0,多云,3,45.0,27.0
501,四平,2025-05-06T22:02+08:00,7.0,5.0,多云,2,76.0,17.0
502,通化,2025-05-06T22:02+08:00,6.0,5.0,晴,1,82.0,13.0
503,白城,2025-05-06T22:00+08:00,15.0,12.0,多云,2,30.0,28.0
504,辽源,2025-05-06T22:00+08:00,6.0,5.0,雾,1,93.0,6.0
505,松原,2025-05-06T22:00+08:00,8.0,7.0,多云,0,59.0,12.0
506,白山,2025-05-06T22:00+08:00,3.0,1.0,雾,1,92.0,10.0
507,沈阳,2025-05-06T22:00+08:00,8.0,6.0,晴,2,80.0,18.0
508,大连,2025-05-06T22:00+08:00,11.0,10.0,阴,1,73.0,17.0
509,鞍山,2025-05-06T22:00+08:00,12.0,11.0,晴,2,72.0,9.0
510,抚顺,2025-05-06T22:00+08:00,7.0,4.0,晴,2,79.0,21.0
511,本溪,2025-05-06T22:00+08:00,10.0,8.0,晴,1,59.0,28.0
512,丹东,2025-05-06T22:00+08:00,11.0,9.0,晴,2,86.0,14.0
513,锦州,2025-05-06T22:00+08:00,12.0,10.0,多云,3,71.0,20.0
514,营口,2025-05-06T22:00+08:00,11.0,9.0,雾,2,88.0,7.0
515,阜新,2025-05-06T22:00+08:00,13.0,11.0,阴,2,61.0,30.0
516,辽阳,2025-05-06T22:00+08:00,9.0,7.0,晴,1,73.0,15.0
517,铁岭,2025-05-06T22:02+08:00,10.0,9.0,晴,1,71.0,13.0
518,盘锦,2025-05-06T22:00+08:00,12.0,11.0,多云,2,87.0,19.0
519,葫芦岛,2025-05-06T22:02+08:00,9.0,7.0,阴,2,80.0,30.0
520,呼和浩特,2025-05-06T22:02+08:00,9.0,8.0,晴,1,65.0,30.0
521,包头,2025-05-06T22:02+08:00,11.0,9.0,晴,2,70.0,13.0
522,乌海,2025-05-06T22:02+08:00,14.0,12.0,阴,1,33.0,25.0
523,乌兰察布,2025-05-06T22:02+08:00,7.0,5.0,阴,1,67.0,30.0
524,通辽,2025-05-06T22:00+08:00,14.0,9.0,多云,4,34.0,30.0
525,赤峰,2025-05-06T22:00+08:00,12.0,10.0,多云,2,37.0,30.0
526,鄂尔多斯,2025-05-06T22:00+08:00,11.0,9.0,阴,2,44.0,26.0
527,巴彦淖尔,2025-05-06T22:00+08:00,14.0,12.0,阴,1,28.0,22.0
528,锡林郭勒,2025-05-06T22:00+08:00,8.0,5.0,晴,2,33.0,30.0
529,呼伦贝尔,2025-05-06T22:00+08:00,8.0,4.0,多云,3,36.0,30.0
530,兴安盟,2025-05-06T22:00+08:00,12.0,10.0,多云,1,29.0,29.0
531,阿拉善盟,2025-05-06T22:00+08:00,17.0,14.0,阴,2,29.0,30.0
532,石家庄,2025-05-06T22:00+08:00,16.0,15.0,晴,2,59.0,17.0
533,保定,2025-05-06T22:02+08:00,15.0,14.0,晴,1,61.0,29.0
534,张家口,2025-05-06T22:00+08:00,12.0,10.0,阴,1,56.0,30.0
535,承德,2025-05-06T22:02+08:00,13.0,11.0,多云,1,52.0,30.0
536,唐山,2025-05-06T22:00+08:00,12.0,10.0,雾,2,79.0,8.0
537,廊坊,2025-05-06T22:00+08:00,16.0,15.0,晴,2,63.0,16.0
538,沧州,2025-05-06T22:00+08:00,14.0,12.0,晴,2,68.0,9.0
539,衡水,2025-05-06T22:02+08:00,15.0,14.0,晴,1,67.0,21.0
540,邢台,2025-05-06T22:02+08:00,16.0,15.0,晴,2,58.0,24.0
541,邯郸,2025-05-06T22:02+08:00,19.0,18.0,晴,2,51.0,23.0
542,秦皇岛,2025-05-06T22:00+08:00,9.0,9.0,雾,0,94.0,7.0
543,太原,2025-05-06T22:01+08:00,16.0,12.0,阴,4,42.0,26.0
544,大同,2025-05-06T22:00+08:00,12.0,11.0,多云,1,58.0,21.0
545,阳泉,2025-05-06T22:00+08:00,12.0,10.0,阴,2,66.0,30.0
546,晋中,2025-05-06T22:00+08:00,15.0,9.0,多云,5,54.0,30.0
547,长治,2025-05-06T22:02+08:00,16.0,12.0,晴,3,27.0,28.0
548,晋城,2025-05-06T22:02+08:00,17.0,15.0,晴,2,26.0,21.0
549,临汾,2025-05-06T22:00+08:00,19.0,18.0,晴,1,31.0,12.0
550,运城,2025-05-06T22:02+08:00,19.0,17.0,霾,2,28.0,7.0
551,朔州,2025-05-06T22:00+08:00,9.0,7.0,晴,1,54.0,13.0
552,忻州,2025-05-06T22:00+08:00,12.0,9.0,多云,2,51.0,27.0
553,吕梁,2025-05-06T22:00+08:00,16.0,13.0,多云,2,30.0,15.0
554,西安,2025-05-06T22:02+08:00,19.0,18.0,晴,2,39.0,24.0
555,咸阳,2025-05-06T22:02+08:00,17.0,15.0,浮尘,2,43.0,6.0
556,延安,2025-05-06T22:02+08:00,16.0,14.0,晴,1,36.0,16.0
557,榆林,2025-05-06T22:02+08:00,18.0,14.0,阴,3,20.0,28.0
558,渭南,2025-05-06T22:02+08:00,19.0,18.0,晴,1,45.0,14.0
559,商洛,2025-05-06T22:02+08:00,21.0,18.0,浮尘,3,27.0,6.0
560,安康,2025-05-06T22:02+08:00,23.0,22.0,多云,2,37.0,27.0
561,汉中,2025-05-06T22:02+08:00,25.0,25.0,晴,2,41.0,30.0
562,宝鸡,2025-05-06T22:02+08:00,18.0,17.0,浮尘,1,40.0,10.0
563,铜川,2025-05-06T22:02+08:00,16.0,14.0,霾,1,35.0,13.0
564,济南,2025-05-06T22:00+08:00,13.0,11.0,晴,2,77.0,12.0
565,青岛,2025-05-06T22:02+08:00,12.0,10.0,多云,3,100.0,20.0
566,淄博,2025-05-06T22:00+08:00,10.0,10.0,雾,0,94.0,4.0
567,德州,2025-05-06T22:02+08:00,14.0,12.0,雾,2,73.0,7.0
568,烟台,2025-05-06T22:02+08:00,11.0,10.0,阴,0,53.0,30.0
569,潍坊,2025-05-06T22:02+08:00,13.0,13.0,雾,1,89.0,8.0
570,济宁,2025-05-06T22:02+08:00,16.0,16.0,多云,0,72.0,18.0
571,泰安,2025-05-06T22:00+08:00,15.0,15.0,晴,1,74.0,10.0
572,临沂,2025-05-06T22:00+08:00,15.0,14.0,雾,2,82.0,9.0
573,菏泽,2025-05-06T22:00+08:00,17.0,16.0,阴,2,57.0,30.0
574,滨州,2025-05-06T22:00+08:00,11.0,11.0,雾,0,95.0,3.0
575,东营,2025-05-06T22:00+08:00,11.0,11.0,雾,0,94.0,3.0
576,威海,2025-05-06T22:00+08:00,11.0,10.0,多云,1,71.0,26.0
577,枣庄,2025-05-06T22:00+08:00,16.0,16.0,阴,0,65.0,18.0
578,日照,2025-05-06T22:00+08:00,11.0,10.0,多云,1,93.0,25.0
579,莱芜,2025-05-06T22:02+08:00,14.0,13.0,晴,1,70.0,12.0
580,聊城,2025-05-06T22:02+08:00,16.0,16.0,晴,1,67.0,21.0
581,乌鲁木齐,2025-05-06T22:02+08:00,20.0,15.0,晴,4,29.0,30.0
582,克拉玛依,2025-05-06T22:02+08:00,22.0,15.0,晴,5,23.0,30.0
583,石河子,2025-05-06T22:02+08:00,24.0,22.0,晴,2,14.0,3.0
584,昌吉,2025-05-06T22:02+08:00,21.0,19.0,晴,2,32.0,25.0
585,吐鲁番,2025-05-06T22:02+08:00,31.0,30.0,多云,1,13.0,30.0
586,巴州,2025-05-06T22:02+08:00,22.0,15.0,多云,5,26.0,7.0
587,阿拉尔,2025-05-06T22:02+08:00,24.0,22.0,多云,2,22.0,9.0
588,阿克苏,2025-05-06T22:02+08:00,25.0,22.0,扬沙,3,20.0,8.0
589,喀什,2025-05-06T22:02+08:00,27.0,26.0,晴,2,21.0,19.0
590,伊犁,2025-05-06T22:02+08:00,21.0,20.0,晴,0,31.0,23.0
591,塔城,2025-05-06T22:02+08:00,20.0,17.0,晴,3,28.0,30.0
592,哈密,2025-05-06T22:02+08:00,24.0,21.0,多云,3,19.0,15.0
593,和田,2025-05-06T22:02+08:00,26.0,24.0,霾,2,17.0,6.0
594,阿勒泰,2025-05-06T22:02+08:00,16.0,12.0,晴,3,30.0,30.0
595,克州,2025-05-06T22:02+08:00,26.0,24.0,多云,2,22.0,14.0
596,博州,2025-05-06T22:02+08:00,23.0,20.0,晴,3,21.0,23.0
597,拉萨,2025-05-06T22:02+08:00,7.0,5.0,小雨,2,82.0,5.0
598,日喀则,2025-05-06T22:02+08:00,9.0,4.0,阴,4,60.0,30.0
599,山南,2025-05-06T22:02+08:00,12.0,9.0,阴,2,44.0,30.0
600,林芝,2025-05-06T22:02+08:00,13.0,11.0,阴,2,51.0,30.0
601,昌都,2025-05-06T22:02+08:00,12.0,10.0,阴,1,48.0,30.0
602,那曲,2025-05-06T22:02+08:00,3.0,-3.0,阴,4,68.0,30.0
603,阿里,2025-05-06T22:02+08:00,3.0,1.0,阴,1,77.0,30.0
604,西宁,2025-05-06T22:02+08:00,14.0,7.0,阴,5,33.0,21.0
605,海东,2025-05-06T22:02+08:00,15.0,5.0,阴,6,34.0,20.0
606,黄南,2025-05-06T22:02+08:00,15.0,11.0,多云,3,15.0,19.0
607,海南,2025-05-06T22:02+08:00,13.0,11.0,多云,1,14.0,18.0
608,果洛,2025-05-06T22:02+08:00,6.0,3.0,多云,2,22.0,30.0
609,玉树,2025-05-06T22:02+08:00,10.0,6.0,阴,2,31.0,21.0
610,海西,2025-05-06T22:02+08:00,13.0,8.0,多云,3,10.0,14.0
611,海北,2025-05-06T22:02+08:00,6.0,1.0,阴,3,46.0,29.0
612,兰州,2025-05-06T22:02+08:00,19.0,18.0,多云,1,28.0,20.0
613,定西,2025-05-06T22:02+08:00,16.0,13.0,晴,3,40.0,15.0
614,平凉,2025-05-06T22:02+08:00,18.0,16.0,霾,2,35.0,12.0
615,庆阳,2025-05-06T22:02+08:00,18.0,14.0,晴,3,31.0,13.0
616,武威,2025-05-06T21:58+08:00,17.0,15.0,阴,2,22.0,16.0
617,金昌,2025-05-06T22:00+08:00,18.0,14.0,阴,3,25.0,16.0
618,张掖,2025-05-06T21:58+08:00,16.0,12.0,阴,3,36.0,22.0
619,酒泉,2025-05-06T22:00+08:00,17.0,12.0,阴,4,28.0,30.0
620,天水,2025-05-06T22:00+08:00,17.0,16.0,晴,1,55.0,29.0
621,陇南,2025-05-06T22:02+08:00,22.0,19.0,晴,3,38.0,30.0
622,临夏,2025-05-06T22:02+08:00,17.0,12.0,晴,4,33.0,30.0
623,甘南,2025-05-06T22:02+08:00,10.0,7.0,多云,2,36.0,30.0
624,白银,2025-05-06T22:02+08:00,18.0,13.0,多云,4,29.0,30.0
625,嘉峪关,2025-05-06T22:02+08:00,16.0,12.0,阴,3,27.0,20.0
626,银川,2025-05-06T22:02+08:00,20.0,18.0,阴,2,27.0,11.0
627,石嘴山,2025-05-06T22:02+08:00,17.0,15.0,阴,1,28.0,17.0
628,吴忠,2025-05-06T22:02+08:00,18.0,15.0,阴,2,20.0,13.0
629,固原,2025-05-06T22:02+08:00,17.0,12.0,晴,4,36.0,30.0
630,中卫,2025-05-06T22:02+08:00,18.0,17.0,霾,1,26.0,10.0
631,郑州,2025-05-06T22:00+08:00,21.0,19.0,霾,3,35.0,14.0
632,安阳,2025-05-06T22:00+08:00,17.0,16.0,晴,2,53.0,20.0
633,新乡,2025-05-06T22:00+08:00,18.0,17.0,多云,2,53.0,19.0
634,许昌,2025-05-06T22:00+08:00,15.0,13.0,霾,2,68.0,9.0
635,平顶山,2025-05-06T22:00+08:00,21.0,17.0,阴,4,42.0,14.0
636,信阳,2025-05-06T22:00+08:00,21.0,19.0,多云,2,38.0,15.0
637,南阳,2025-05-06T22:02+08:00,21.0,20.0,霾,1,33.0,7.0
638,开封,2025-05-06T22:00+08:00,20.0,19.0,阴,2,46.0,15.0
639,洛阳,2025-05-06T22:02+08:00,21.0,19.0,霾,1,24.0,10.0
640,商丘,2025-05-06T22:00+08:00,17.0,16.0,阴,2,56.0,27.0
641,焦作,2025-05-06T22:02+08:00,19.0,13.0,多云,5,40.0,13.0
642,鹤壁,2025-05-06T22:02+08:00,15.0,15.0,晴,1,70.0,23.0
643,濮阳,2025-05-06T22:00+08:00,18.0,16.0,晴,2,51.0,22.0
644,周口,2025-05-06T22:00+08:00,22.0,20.0,霾,3,36.0,10.0
645,漯河,2025-05-06T22:00+08:00,21.0,20.0,浮尘,2,34.0,8.0
646,驻马店,2025-05-06T22:00+08:00,19.0,17.0,浮尘,2,48.0,7.0
647,三门峡,2025-05-06T22:00+08:00,20.0,17.0,浮尘,3,25.0,7.0
648,济源,2025-05-06T22:00+08:00,20.0,18.0,晴,2,42.0,11.0
649,南京,2025-05-06T22:00+08:00,20.0,19.0,阴,1,46.0,15.0
650,无锡,2025-05-06T22:00+08:00,18.0,16.0,阴,3,76.0,23.0
651,镇江,2025-05-06T22:00+08:00,19.0,17.0,阴,3,66.0,11.0
652,苏州,2025-05-06T22:00+08:00,18.0,16.0,阴,3,75.0,18.0
653,南通,2025-05-06T22:00+08:00,15.0,14.0,阴,2,84.0,20.0
654,扬州,2025-05-06T22:00+08:00,19.0,18.0,阴,3,69.0,12.0
655,盐城,2025-05-06T22:02+08:00,15.0,15.0,阴,1,77.0,14.0
656,徐州,2025-05-06T22:00+08:00,16.0,16.0,阴,0,63.0,14.0
