id,城市,观测时间,最高温度,最低温度,白天天气状况,晚间天气状况,白天风力,夜间风力,降水量,紫外线,湿度,能见度,云量
1435,徐州,2024-03-01,6.0,-1.0,阴,晴,1-3,1-3,0.0,4.0,64.0,25.0,25.0
1436,张掖,2024-02-26,3.0,-10.0,多云,晴,1-3,1-3,0.0,4.0,62.0,24.0,15.0
1437,汉中,2024-02-24,6.0,0.0,雨夹雪,多云,1-3,1-3,2.5,5.0,72.0,24.0,64.0
1438,平顶山,2024-02-26,7.0,-3.0,阴,阴,1-3,1-3,0.0,1.0,66.0,25.0,25.0
1439,淮安,2024-02-24,0.0,-4.0,小雨,多云,1-3,1-3,0.0,1.0,96.0,24.0,0.0
1440,张掖,2024-02-27,2.0,-10.0,晴,晴,1-3,1-3,0.0,4.0,88.0,25.0,0.0
1441,平顶山,2024-02-27,6.0,-2.0,阴,阴,1-3,1-3,0.0,5.0,75.0,22.0,25.0
1442,淮安,2024-02-25,4.0,-2.0,晴,阴,1-3,1-3,0.0,5.0,89.0,25.0,1.0
1443,汉中,2024-02-25,10.0,0.0,多云,小雨,1-3,1-3,0.0,5.0,77.0,21.0,23.0
1444,张掖,2024-02-28,1.0,-10.0,小雪,多云,1-3,1-3,0.7,4.0,91.0,1.0,4.0
1445,平顶山,2024-02-28,5.0,0.0,小雨,中雪,1-3,1-3,1.0,1.0,83.0,24.0,55.0
1446,淮安,2024-02-26,4.0,-3.0,阴,多云,1-3,1-3,0.0,2.0,87.0,25.0,4.0
1447,汉中,2024-02-26,10.0,1.0,阴,多云,1-3,1-3,0.0,1.0,63.0,24.0,23.0
1448,张掖,2024-02-29,-2.0,-10.0,晴,晴,1-3,1-3,0.0,3.0,77.0,23.0,0.0
1449,平顶山,2024-02-29,6.0,-2.0,阴,阴,1-3,1-3,0.0,2.0,57.0,24.0,17.0
1450,淮安,2024-02-27,6.0,-1.0,阴,阴,1-3,1-3,0.0,2.0,84.0,25.0,25.0
1451,汉中,2024-02-27,12.0,0.0,阴,阴,1-3,1-3,0.0,3.0,92.0,6.0,25.0
1452,张掖,2024-03-01,2.0,-10.0,晴,晴,1-3,1-3,0.0,4.0,40.0,25.0,0.0
1453,平顶山,2024-03-01,8.0,-2.0,多云,晴,1-3,1-3,0.0,4.0,83.0,24.0,25.0
1454,淮安,2024-02-28,7.0,1.0,小雨,中雨,1-3,1-3,1.0,2.0,89.0,23.0,55.0
1455,汉中,2024-02-28,9.0,0.0,小雨,小雨,1-3,1-3,1.0,1.0,93.0,5.0,55.0
1456,酒泉,2024-02-24,1.0,-12.0,晴,多云,1-3,1-3,0.0,4.0,93.0,19.0,8.0
1457,信阳,2024-02-24,2.0,-3.0,小雪,多云,1-3,1-3,0.6,4.0,91.0,24.0,0.0
1458,淮安,2024-02-29,7.0,1.0,雨夹雪,阴,1-3,1-3,3.1,1.0,78.0,24.0,61.0
1459,汉中,2024-02-29,11.0,4.0,阴,多云,1-3,1-3,0.0,2.0,74.0,24.0,25.0
1460,酒泉,2024-02-25,0.0,-12.0,多云,多云,1-3,1-3,0.0,2.0,74.0,24.0,3.0
1461,淮安,2024-03-01,6.0,-1.0,阴,多云,1-3,1-3,0.0,5.0,63.0,25.0,25.0
1462,信阳,2024-02-25,8.0,-1.0,晴,小雪,1-3,1-3,0.0,5.0,93.0,22.0,0.0
1463,酒泉,2024-02-26,2.0,-9.0,晴,晴,1-3,1-3,0.0,3.0,64.0,24.0,10.0
1464,连云港,2024-02-24,0.0,-4.0,雨夹雪,多云,1-3,1-3,0.3,1.0,85.0,24.0,41.0
1465,信阳,2024-02-26,3.0,-4.0,小雪,多云,1-3,1-3,1.2,1.0,87.0,24.0,17.0
1466,酒泉,2024-02-27,0.0,-10.0,晴,晴,1-3,1-3,0.0,2.0,72.0,23.0,0.0
1467,连云港,2024-02-25,4.0,-2.0,晴,阴,1-3,1-3,0.0,4.0,69.0,25.0,24.0
1468,信阳,2024-02-27,6.0,-2.0,阴,阴,1-3,1-3,0.0,5.0,96.0,4.0,13.0
1469,酒泉,2024-02-28,-1.0,-10.0,小雪,多云,1-3,1-3,0.7,1.0,92.0,1.0,0.0
1470,连云港,2024-02-26,3.0,-3.0,阴,多云,1-3,1-3,0.0,2.0,77.0,24.0,20.0
1471,酒泉,2024-02-29,-1.0,-11.0,多云,晴,1-3,1-3,0.0,2.0,71.0,24.0,0.0
1472,信阳,2024-02-28,5.0,0.0,雨夹雪,中雪,1-3,1-3,5.1,1.0,96.0,7.0,24.0
1473,连云港,2024-02-27,5.0,-3.0,阴,阴,1-3,1-3,0.0,5.0,73.0,25.0,25.0
1474,信阳,2024-02-29,4.0,1.0,阴,阴,1-3,1-3,0.0,1.0,96.0,3.0,18.0
1475,连云港,2024-02-28,5.0,0.0,阴,中雨,1-3,1-3,0.0,2.0,78.0,24.0,25.0
1476,信阳,2024-03-01,7.0,0.0,阴,多云,1-3,1-3,0.0,1.0,80.0,24.0,25.0
1477,连云港,2024-02-29,4.0,1.0,中雨,阴,1-3,1-3,5.1,1.0,53.0,25.0,80.0
1478,南阳,2024-02-24,4.0,-3.0,多云,多云,1-3,1-3,0.0,5.0,94.0,24.0,22.0
1479,连云港,2024-03-01,6.0,-1.0,多云,晴,1-3,1-3,0.0,3.0,55.0,25.0,25.0
1480,南阳,2024-02-25,8.0,-1.0,多云,阴,1-3,1-3,0.0,5.0,90.0,25.0,0.0
1481,常州,2024-02-24,1.0,-2.0,雨夹雪,阴,1-3,1-3,2.4,1.0,93.0,24.0,64.0
1482,南阳,2024-02-26,6.0,-2.0,阴,阴,1-3,1-3,0.0,5.0,73.0,25.0,20.0
1483,常州,2024-02-25,5.0,-1.0,多云,多云,1-3,1-3,0.0,5.0,83.0,24.0,24.0
1484,南阳,2024-02-27,6.0,-1.0,阴,阴,1-3,1-3,0.0,5.0,86.0,16.0,24.0
1485,常州,2024-02-26,4.0,0.0,阴,多云,1-3,1-3,0.0,2.0,85.0,25.0,25.0
1486,南阳,2024-02-28,6.0,1.0,雨夹雪,中雪,1-3,1-3,5.1,1.0,94.0,17.0,40.0
1487,常州,2024-02-27,8.0,1.0,阴,阴,1-3,1-3,0.0,2.0,85.0,25.0,25.0
1488,南阳,2024-02-29,7.0,-1.0,阴,阴,1-3,1-3,0.0,2.0,80.0,24.0,25.0
1489,酒泉,2024-03-01,0.0,-10.0,晴,晴,1-3,1-3,0.0,4.0,47.0,25.0,0.0
1490,常州,2024-02-28,8.0,3.0,阴,大雨,1-3,1-3,0.0,1.0,97.0,15.0,25.0
1491,南阳,2024-03-01,9.0,-2.0,多云,多云,1-3,1-3,0.0,5.0,78.0,25.0,25.0
1492,天水,2024-02-24,6.0,-6.0,多云,多云,1-3,1-3,0.0,3.0,72.0,25.0,23.0
1493,常州,2024-02-29,8.0,4.0,中雨,阴,1-3,1-3,6.3,1.0,82.0,24.0,85.0
1494,开封,2024-02-24,5.0,-3.0,小雪,多云,1-3,1-3,1.1,4.0,89.0,24.0,40.0
1495,天水,2024-02-25,7.0,-5.0,多云,多云,1-3,1-3,0.0,3.0,81.0,22.0,16.0
1496,汉中,2024-03-01,10.0,5.0,小雨,多云,1-3,1-3,1.0,2.0,71.0,24.0,55.0
1497,常州,2024-03-01,8.0,-1.0,多云,多云,1-3,1-3,0.0,1.0,63.0,25.0,25.0
1498,开封,2024-02-25,9.0,-2.0,多云,阴,1-3,1-3,0.0,4.0,72.0,25.0,20.0
1499,天水,2024-02-26,9.0,-2.0,多云,多云,1-3,1-3,0.0,3.0,82.0,24.0,13.0
1500,宝鸡,2024-02-24,6.0,0.0,多云,晴,1-3,1-3,0.0,5.0,89.0,24.0,3.0
1501,泰州,2024-02-24,0.0,-2.0,雨夹雪,多云,1-3,1-3,2.4,1.0,96.0,21.0,64.0
1502,开封,2024-02-26,7.0,-2.0,阴,多云,1-3,1-3,0.0,1.0,69.0,25.0,14.0
1503,天水,2024-02-27,5.0,-1.0,多云,多云,1-3,1-3,0.0,2.0,96.0,1.0,15.0
1504,宝鸡,2024-02-25,4.0,0.0,阴,阴,1-3,1-3,0.0,3.0,95.0,3.0,25.0
1505,泰州,2024-02-25,4.0,-3.0,晴,多云,1-3,1-3,0.0,5.0,88.0,25.0,24.0
1506,天水,2024-02-28,4.0,-3.0,雨夹雪,多云,1-3,1-3,2.4,1.0,82.0,24.0,64.0
1507,宝鸡,2024-02-26,6.0,0.0,多云,多云,1-3,1-3,0.0,5.0,97.0,2.0,21.0
1508,泰州,2024-02-26,5.0,-2.0,阴,多云,1-3,1-3,0.0,2.0,89.0,25.0,25.0
1509,天水,2024-02-29,6.0,-6.0,多云,晴,1-3,1-3,0.0,4.0,76.0,23.0,24.0
1510,宝鸡,2024-02-27,6.0,0.0,阴,阴,1-3,1-3,0.0,5.0,99.0,1.0,14.0
1511,泰州,2024-02-27,8.0,0.0,阴,阴,1-3,1-3,0.0,2.0,91.0,25.0,25.0
1512,天水,2024-03-01,5.0,-4.0,晴,晴,1-3,1-3,0.0,2.0,71.0,24.0,9.0
1513,泰州,2024-02-28,7.0,2.0,小雨,中雨,1-3,1-3,1.0,1.0,97.0,19.0,55.0
1514,陇南,2024-02-24,8.0,1.0,多云,多云,1-3,1-3,0.0,2.0,80.0,20.0,25.0
1515,宝鸡,2024-02-28,9.0,1.0,雨夹雪,小雨,1-3,1-3,5.1,1.0,99.0,1.0,40.0
1516,泰州,2024-02-29,6.0,0.0,中雨,阴,1-3,1-3,5.1,1.0,83.0,22.0,80.0
1517,陇南,2024-02-25,9.0,1.0,多云,多云,1-3,1-3,0.0,4.0,91.0,4.0,25.0
1518,泰州,2024-03-01,5.0,-4.0,多云,多云,1-3,1-3,0.0,4.0,61.0,25.0,25.0
1519,陇南,2024-02-26,10.0,3.0,多云,晴,1-3,1-3,0.0,2.0,91.0,11.0,23.0
1520,宝鸡,2024-02-29,11.0,1.0,阴,多云,1-3,1-3,0.0,1.0,96.0,1.0,25.0
1521,宿迁,2024-02-24,0.0,-4.0,雨夹雪,多云,1-3,1-3,5.1,1.0,92.0,24.0,0.0
1522,宝鸡,2024-03-01,7.0,0.0,多云,晴,1-3,1-3,0.0,1.0,87.0,23.0,25.0
1523,宿迁,2024-02-25,5.0,-2.0,晴,阴,1-3,1-3,0.0,5.0,83.0,25.0,24.0
1524,铜川,2024-02-24,3.0,-1.0,多云,多云,1-3,1-3,0.0,5.0,83.0,24.0,0.0
1525,宿迁,2024-02-26,3.0,-3.0,多云,多云,1-3,1-3,0.0,2.0,83.0,24.0,25.0
1526,陇南,2024-02-27,9.0,1.0,阴,多云,1-3,1-3,0.0,2.0,92.0,6.0,25.0
1527,铜川,2024-02-25,4.0,0.0,阴,阴,1-3,1-3,0.0,5.0,91.0,15.0,20.0
1528,宿迁,2024-02-27,5.0,-2.0,阴,阴,1-3,1-3,0.0,4.0,82.0,25.0,25.0
1529,陇南,2024-02-28,9.0,1.0,小雨,多云,1-3,1-3,1.0,2.0,93.0,5.0,55.0
1530,宿迁,2024-02-28,5.0,0.0,阴,中雨,1-3,1-3,0.0,2.0,86.0,22.0,24.0
1531,陇南,2024-02-29,9.0,1.0,小雨,多云,1-3,1-3,1.0,5.0,88.0,9.0,55.0
1532,宿迁,2024-02-29,4.0,0.0,雨夹雪,阴,1-3,1-3,2.6,1.0,68.0,24.0,63.0
1533,铜川,2024-02-26,3.0,-3.0,多云,多云,1-3,1-3,0.0,1.0,88.0,20.0,0.0
1534,开封,2024-02-27,7.0,0.0,阴,阴,1-3,1-3,0.0,5.0,78.0,25.0,25.0
1535,陇南,2024-03-01,8.0,1.0,晴,晴,1-3,1-3,0.0,3.0,80.0,21.0,25.0
1536,宿迁,2024-03-01,6.0,-1.0,阴,多云,1-3,1-3,0.0,5.0,73.0,25.0,25.0
1537,铜川,2024-02-27,5.0,-1.0,多云,阴,1-3,1-3,0.0,5.0,96.0,1.0,12.0
1538,开封,2024-02-28,6.0,0.0,雨夹雪,雨夹雪,1-3,1-3,2.6,1.0,77.0,25.0,63.0
1539,临夏,2024-02-24,4.0,-6.0,多云,多云,1-3,1-3,0.0,3.0,85.0,12.0,11.0
1540,武汉,2024-02-24,1.0,-3.0,多云,晴,1-3,1-3,0.0,1.0,90.0,24.0,2.0
1541,开封,2024-02-29,6.0,-3.0,阴,阴,1-3,1-3,0.0,1.0,54.0,25.0,17.0
1542,临夏,2024-02-25,0.0,-6.0,小雪,小雪,1-3,1-3,0.6,1.0,94.0,10.0,0.0
1543,武汉,2024-02-25,6.0,-2.0,阴,小雨,1-3,1-3,0.0,5.0,99.0,1.0,20.0
1544,铜川,2024-02-28,3.0,0.0,小雨,小雨,1-3,1-3,2.1,1.0,86.0,21.0,62.0
1545,开封,2024-03-01,8.0,-3.0,多云,晴,1-3,1-3,0.0,3.0,76.0,25.0,25.0
1546,临夏,2024-02-26,5.0,-5.0,晴,多云,1-3,1-3,0.0,5.0,88.0,21.0,25.0
1547,武汉,2024-02-26,4.0,-1.0,雨夹雪,多云,1-3,1-3,2.4,1.0,96.0,11.0,64.0
1548,洛阳,2024-02-24,5.0,-2.0,多云,多云,1-3,1-3,0.0,3.0,78.0,24.0,16.0
1549,武汉,2024-02-27,5.0,0.0,阴,小雨,1-3,1-3,0.0,2.0,94.0,10.0,25.0
1550,临夏,2024-02-27,4.0,-4.0,多云,多云,1-3,1-3,0.0,5.0,93.0,1.0,0.0
1551,武汉,2024-02-28,6.0,3.0,小雨,中雨,1-3,1-3,5.1,1.0,96.0,2.0,80.0
1552,临夏,2024-02-28,2.0,-6.0,小雪,小雪,1-3,1-3,0.7,1.0,94.0,1.0,10.0
1553,临夏,2024-02-29,1.0,-6.0,小雪,多云,1-3,1-3,1.2,1.0,95.0,1.0,1.0
1554,武汉,2024-02-29,5.0,2.0,小雨,阴,1-3,1-3,1.0,1.0,95.0,8.0,55.0
1555,临夏,2024-03-01,1.0,-6.0,晴,晴,1-3,1-3,0.0,3.0,89.0,22.0,0.0
1556,武汉,2024-03-01,5.0,0.0,阴,多云,1-3,1-3,0.0,1.0,82.0,24.0,24.0
1557,甘南,2024-02-24,2.0,-12.0,小雪,小雪,1-3,1-3,0.5,2.0,94.0,15.0,12.0
1558,襄阳,2024-02-24,4.0,0.0,晴,晴,1-3,1-3,0.0,5.0,88.0,24.0,2.0
1559,甘南,2024-02-25,0.0,-14.0,小雪,小雪,1-3,1-3,0.5,4.0,89.0,20.0,0.0
1560,襄阳,2024-02-25,6.0,0.0,多云,小雪,1-3,1-3,0.0,5.0,87.0,24.0,3.0
1561,洛阳,2024-02-25,9.0,-2.0,多云,阴,1-3,1-3,0.0,5.0,79.0,25.0,25.0
1562,甘南,2024-02-26,5.0,-16.0,多云,多云,1-3,1-3,0.0,5.0,88.0,24.0,1.0
1563,襄阳,2024-02-26,6.0,0.0,晴,阴,1-3,1-3,0.0,5.0,78.0,24.0,23.0
1564,洛阳,2024-02-26,7.0,-2.0,阴,多云,1-3,1-3,0.0,1.0,71.0,24.0,24.0
1565,甘南,2024-02-27,6.0,-15.0,多云,多云,1-3,1-3,0.0,4.0,87.0,2.0,16.0
1566,襄阳,2024-02-27,6.0,0.0,阴,阴,1-3,1-3,0.0,5.0,93.0,4.0,25.0
1567,襄阳,2024-02-28,4.0,1.0,小雨,雨夹雪,1-3,1-3,1.0,1.0,94.0,15.0,55.0
1568,杭州,2024-02-29,8.0,5.0,中雨,小雨,3-4,3-4,6.3,1.0,95.0,9.0,85.0
1569,甘南,2024-02-28,3.0,-11.0,小雪,小雪,1-3,1-3,1.0,2.0,85.0,8.0,11.0
1570,襄阳,2024-02-29,6.0,1.0,小雨,多云,1-3,1-3,1.0,2.0,88.0,23.0,55.0
1571,洛阳,2024-02-27,8.0,-2.0,多云,阴,1-3,1-3,0.0,5.0,66.0,25.0,25.0
1572,杭州,2024-03-01,8.0,0.0,小雨,阴,3-4,1-3,1.0,1.0,77.0,24.0,55.0
1573,襄阳,2024-03-01,8.0,1.0,多云,晴,1-3,1-3,0.0,5.0,76.0,24.0,25.0
1574,洛阳,2024-02-28,5.0,-1.0,雨夹雪,小雪,1-3,1-3,2.7,1.0,90.0,24.0,63.0
1575,湖州,2024-02-24,1.0,-1.0,小雨,阴,3-4,3-4,1.0,1.0,89.0,24.0,55.0
1576,鄂州,2024-02-24,1.0,0.0,冻雨,冻雨,1-3,1-3,1.0,1.0,84.0,24.0,4.0
1577,甘南,2024-02-29,0.0,-12.0,小雪,晴,1-3,1-3,1.0,2.0,86.0,4.0,0.0
1578,洛阳,2024-02-29,8.0,-3.0,阴,阴,1-3,1-3,0.0,2.0,76.0,12.0,14.0
1579,湖州,2024-02-25,6.0,0.0,多云,小雨,3-4,1-3,0.0,5.0,84.0,24.0,25.0
1580,鄂州,2024-02-25,6.0,0.0,阴,小雨,1-3,1-3,0.0,5.0,99.0,1.0,25.0
1581,甘南,2024-03-01,3.0,-13.0,晴,晴,1-3,1-3,0.0,5.0,83.0,24.0,0.0
1582,洛阳,2024-03-01,9.0,-2.0,阴,多云,1-3,1-3,0.0,4.0,79.0,24.0,25.0
1583,湖州,2024-02-26,6.0,1.0,小雨,阴,1-3,1-3,1.1,1.0,83.0,24.0,56.0
1584,鄂州,2024-02-26,6.0,1.0,小雨,多云,1-3,1-3,1.4,1.0,98.0,1.0,58.0
1585,白银,2024-02-24,2.0,-10.0,多云,多云,1-3,1-3,0.0,4.0,64.0,21.0,0.0
1586,商丘,2024-02-24,3.0,-5.0,多云,多云,1-3,1-3,0.0,4.0,71.0,25.0,15.0
1587,鄂州,2024-02-27,6.0,2.0,阴,小雨,1-3,1-3,0.0,5.0,95.0,16.0,25.0
1588,商丘,2024-02-25,7.0,-3.0,晴,阴,1-3,1-3,0.0,5.0,74.0,25.0,20.0
1589,湖州,2024-02-27,9.0,2.0,阴,小雨,1-3,1-3,0.0,5.0,89.0,23.0,25.0
1590,鄂州,2024-02-28,6.0,3.0,中雨,中雨,1-3,1-3,6.0,1.0,97.0,1.0,83.0
1591,商丘,2024-02-26,6.0,-4.0,阴,阴,1-3,1-3,0.0,2.0,73.0,24.0,20.0
1592,湖州,2024-02-28,8.0,2.0,小到中雨,小到中雨,3-4,1-3,6.3,1.0,97.0,5.0,85.0
1593,鄂州,2024-02-29,6.0,2.0,小雨,小雨,1-3,1-3,1.0,1.0,93.0,15.0,55.0
1594,商丘,2024-02-27,6.0,-2.0,阴,阴,1-3,1-3,0.0,4.0,80.0,25.0,25.0
1595,湖州,2024-02-29,8.0,4.0,中雨,小雨,3-4,3-4,15.7,1.0,88.0,16.0,93.0
1596,鄂州,2024-03-01,5.0,2.0,阴,阴,1-3,1-3,0.0,1.0,88.0,23.0,25.0
1597,商丘,2024-02-28,5.0,0.0,小雪,大雪,1-3,1-3,1.2,1.0,75.0,25.0,35.0
1598,湖州,2024-03-01,7.0,1.0,小雨,阴,3-4,1-3,1.0,1.0,74.0,25.0,55.0
1599,孝感,2024-02-24,3.0,-1.0,多云,晴,1-3,1-3,0.0,1.0,95.0,24.0,18.0
1600,商丘,2024-02-29,3.0,-3.0,小雪,阴,1-3,1-3,1.5,1.0,62.0,25.0,31.0
1601,嘉兴,2024-02-24,2.0,0.0,小雨,阴,4-5,4-5,2.5,1.0,84.0,24.0,64.0
1602,孝感,2024-02-25,6.0,0.0,阴,雨夹雪,1-3,1-3,0.0,5.0,95.0,7.0,20.0
1603,商丘,2024-03-01,7.0,-2.0,阴,多云,1-3,1-3,0.0,5.0,65.0,25.0,25.0
1604,嘉兴,2024-02-25,5.0,0.0,阴,阴,4-5,1-3,0.0,5.0,88.0,24.0,25.0
1605,孝感,2024-02-26,5.0,0.0,小雪,多云,1-3,1-3,1.5,1.0,92.0,22.0,43.0
1606,焦作,2024-02-24,5.0,-1.0,小雪,多云,1-3,1-3,1.7,3.0,81.0,24.0,40.0
1607,嘉兴,2024-02-26,7.0,2.0,阴,多云,1-3,1-3,0.0,1.0,87.0,24.0,25.0
1608,孝感,2024-02-27,6.0,0.0,阴,小雨,1-3,1-3,0.0,2.0,95.0,6.0,25.0
1609,焦作,2024-02-25,9.0,-1.0,晴,阴,1-3,1-3,0.0,4.0,80.0,25.0,0.0
1610,孝感,2024-02-28,6.0,3.0,小雨,中雨,1-3,1-3,2.1,1.0,93.0,8.0,62.0
1611,焦作,2024-02-26,7.0,0.0,多云,多云,1-3,1-3,0.0,2.0,58.0,25.0,10.0
1612,孝感,2024-02-29,6.0,2.0,阴,阴,1-3,1-3,0.0,1.0,91.0,17.0,23.0
1613,白银,2024-02-25,1.0,-8.0,小雪,小雪,1-3,1-3,0.6,2.0,89.0,15.0,1.0
1614,焦作,2024-02-27,8.0,0.0,阴,阴,1-3,1-3,0.0,4.0,64.0,25.0,20.0
1615,孝感,2024-03-01,5.0,0.0,阴,多云,1-3,1-3,0.0,2.0,80.0,24.0,25.0
1616,焦作,2024-02-28,5.0,-1.0,小雪,小雪,1-3,1-3,1.4,1.0,89.0,10.0,43.0
1617,黄冈,2024-02-24,1.0,0.0,小雪,晴,1-3,1-3,0.9,1.0,84.0,24.0,3.0
1618,白银,2024-02-26,4.0,-8.0,多云,多云,1-3,1-3,0.0,4.0,71.0,24.0,21.0
1619,焦作,2024-02-29,8.0,-1.0,阴,阴,1-3,1-3,0.0,1.0,56.0,20.0,19.0
1620,白银,2024-02-27,4.0,-7.0,多云,多云,1-3,1-3,0.0,3.0,86.0,3.0,14.0
1621,焦作,2024-03-01,7.0,-1.0,阴,晴,1-3,1-3,0.0,1.0,72.0,24.0,25.0
1622,鹤壁,2024-02-24,2.0,-4.0,多云,晴,1-3,1-3,0.0,4.0,92.0,24.0,2.0
1623,白银,2024-02-28,1.0,-6.0,多云,小雪,1-3,1-3,0.0,1.0,84.0,3.0,16.0
1624,白银,2024-02-29,-2.0,-8.0,小雪,晴,1-3,1-3,0.6,1.0,86.0,9.0,0.0
1625,鹤壁,2024-02-25,8.0,-3.0,晴,阴,1-3,1-3,0.0,4.0,75.0,25.0,25.0
1626,嘉兴,2024-02-27,11.0,2.0,阴,小雨,1-3,1-3,0.0,1.0,89.0,25.0,25.0
1627,白银,2024-03-01,-1.0,-10.0,晴,晴,1-3,1-3,0.0,5.0,66.0,24.0,20.0
1628,鹤壁,2024-02-26,6.0,-4.0,阴,多云,1-3,1-3,0.0,2.0,65.0,24.0,9.0
1629,嘉兴,2024-02-28,9.0,4.0,小到中雨,小到中雨,3-4,3-4,6.3,1.0,97.0,15.0,85.0
1630,鹤壁,2024-02-27,8.0,-1.0,多云,阴,1-3,1-3,0.0,4.0,68.0,25.0,20.0
1631,嘉兴,2024-02-29,9.0,5.0,中雨,小雨,3-4,3-4,16.5,1.0,86.0,24.0,95.0
1632,嘉峪关,2024-02-24,0.0,-9.0,晴,晴,1-3,1-3,0.0,4.0,92.0,18.0,9.0
1633,鹤壁,2024-02-28,7.0,0.0,阴,雨夹雪,1-3,1-3,0.0,2.0,81.0,24.0,16.0
1634,嘉兴,2024-03-01,9.0,0.0,阴,多云,3-4,1-3,0.0,1.0,75.0,25.0,25.0
1635,嘉峪关,2024-02-25,0.0,-10.0,多云,多云,1-3,1-3,0.0,4.0,80.0,24.0,4.0
1636,鹤壁,2024-02-29,6.0,-1.0,阴,阴,1-3,1-3,0.0,2.0,57.0,24.0,16.0
1637,宁波,2024-02-24,4.0,0.0,小雨,阴,4-5,4-5,1.0,1.0,87.0,19.0,55.0
1638,嘉峪关,2024-02-26,1.0,-10.0,晴,晴,1-3,1-3,0.0,3.0,71.0,25.0,6.0
1639,鹤壁,2024-03-01,8.0,-4.0,多云,晴,1-3,1-3,0.0,2.0,69.0,24.0,0.0
1640,宁波,2024-02-25,6.0,1.0,阴,小雨,4-5,3-4,0.0,3.0,93.0,10.0,25.0
1641,濮阳,2024-02-24,3.0,-5.0,多云,晴,1-3,1-3,0.0,4.0,87.0,24.0,0.0
1642,宁波,2024-02-26,5.0,2.0,小雨,阴,1-3,1-3,1.3,1.0,94.0,22.0,57.0
1643,濮阳,2024-02-25,8.0,-3.0,晴,阴,1-3,1-3,0.0,4.0,74.0,25.0,20.0
1644,嘉峪关,2024-02-27,1.0,-10.0,晴,晴,1-3,1-3,0.0,2.0,82.0,20.0,0.0
1645,宁波,2024-02-27,9.0,2.0,阴,小雨,1-3,1-3,0.0,2.0,96.0,23.0,25.0
1646,黄冈,2024-02-25,6.0,0.0,阴,小雨,1-3,1-3,0.0,5.0,99.0,1.0,25.0
1647,嘉峪关,2024-02-28,-2.0,-10.0,小雪,多云,1-3,1-3,0.5,1.0,94.0,1.0,0.0
1648,濮阳,2024-02-26,7.0,-3.0,阴,多云,1-3,1-3,0.0,2.0,69.0,24.0,25.0
1649,宁波,2024-02-28,9.0,4.0,小到中雨,小雨,1-3,1-3,6.3,1.0,98.0,6.0,85.0
1650,黄冈,2024-02-26,6.0,0.0,小雨,多云,1-3,1-3,1.0,1.0,98.0,1.0,55.0
1651,宁波,2024-02-29,10.0,5.0,小到中雨,小雨,3-4,3-4,6.3,1.0,86.0,23.0,85.0
1652,黄冈,2024-02-27,7.0,1.0,阴,小雨,1-3,1-3,0.0,5.0,95.0,14.0,25.0
1653,宁波,2024-03-01,9.0,1.0,小雨,阴,4-5,3-4,1.0,2.0,76.0,24.0,55.0
1654,嘉峪关,2024-02-29,2.0,-9.0,晴,晴,1-3,1-3,0.0,4.0,75.0,22.0,0.0
1655,黄冈,2024-02-28,6.0,3.0,中雨,中雨,1-3,1-3,5.1,1.0,97.0,1.0,80.0
1656,绍兴,2024-02-24,3.0,0.0,小雨,小雨,1-3,3-4,2.0,1.0,85.0,23.0,61.0
1657,嘉峪关,2024-03-01,10.0,-8.0,晴,晴,1-3,1-3,0.0,4.0,52.0,25.0,0.0
1658,黄冈,2024-02-29,6.0,2.0,小雨,阴,1-3,1-3,1.3,1.0,93.0,16.0,57.0
1659,绍兴,2024-02-25,7.0,1.0,多云,小雨,3-4,1-3,0.0,4.0,98.0,2.0,25.0
1660,银川,2024-02-24,-1.0,-10.0,多云,多云,1-3,1-3,0.0,4.0,78.0,25.0,0.0
1661,黄冈,2024-03-01,6.0,1.0,阴,阴,1-3,1-3,0.0,1.0,87.0,23.0,25.0
1662,绍兴,2024-02-26,5.0,1.0,小雨,阴,1-3,1-3,1.6,1.0,96.0,10.0,59.0
1663,银川,2024-02-25,2.0,-9.0,多云,阴,1-3,1-3,0.0,2.0,79.0,25.0,25.0
1664,黄石,2024-02-24,1.0,0.0,冻雨,冻雨,1-3,1-3,3.0,1.0,86.0,22.0,3.0
1665,绍兴,2024-02-27,9.0,2.0,阴,小雨,1-3,1-3,0.0,1.0,93.0,19.0,25.0
1666,濮阳,2024-02-27,8.0,-1.0,阴,阴,1-3,1-3,0.0,4.0,71.0,25.0,25.0
1667,黄石,2024-02-25,6.0,0.0,阴,小雨,1-3,1-3,0.0,5.0,99.0,1.0,25.0
1668,绍兴,2024-02-28,7.0,2.0,小到中雨,小到中雨,1-3,1-3,6.3,1.0,99.0,5.0,85.0
1669,银川,2024-02-26,4.0,-5.0,阴,阴,1-3,1-3,0.0,4.0,77.0,24.0,14.0
1670,濮阳,2024-02-28,7.0,0.0,阴,雨夹雪,1-3,1-3,0.0,1.0,78.0,25.0,25.0
1671,绍兴,2024-02-29,8.0,5.0,小到中雨,小雨,3-4,3-4,6.3,1.0,95.0,14.0,85.0
1672,绍兴,2024-03-01,8.0,0.0,小雨,多云,3-4,1-3,1.1,1.0,82.0,23.0,55.0
1673,濮阳,2024-02-29,5.0,-3.0,阴,阴,1-3,1-3,0.0,1.0,50.0,24.0,13.0
1674,银川,2024-02-27,5.0,-5.0,多云,多云,1-3,1-3,0.0,4.0,52.0,25.0,15.0
